Código proyecto,Nombre proyecto,Cliente,Industria,Categoría principal,Participantes,Tags,Contraparte,Cargo contraparte,Fecha Inicio,Fecha término,Resumen proyecto,Link,Modificado por,Creado,Modificado,Encargado de proyecto N°1 (Creador Proyecto/Modificador PREZ Antiguo),Encargado de proyecto N°2 (Participante Antiguo),Encargado de proyecto N°3 (Modificador PREZ reciente)
FUN02,Herramienta de evaluación de desempeño,Fundación de las Familias,Non-profit,Rediseño organizacional y gobernanza,"[""Por Definir""]","[""Descriptor de cargo"","" Control de gestión"","" Evaluación de desempeño"","" Reunión de coordinación"","" Fundación de las Familias"","" Pautas de evaluación"","" Sistema organizacional"","" Coordinación con el cliente"","" Planilla de análisis""]",Por Definir,,,,"Se ha realizado una coordinación con la Fundación de las Familias para revisar y completar los descriptores de cargo, así como establecer pautas de evaluación de desempeño para diferentes cargos dentro de la organización.",/:f:/s/Proyectos-TheHouse/Elzs8aHZNkZHgH0ZIeGNE1UBTjze-arMBDkc9JpDHAY12Q?e=ndxStR,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 10:20 AM,,,
GAS02,Estrategia Corporativa,Empresas Gasco,RR Naturales,Estrategia,"[""Por Definir""]","[""Análisis financiero"","" Estrategia empresarial"","" Proyecciones financieras"","" Negocio base"","" Adyacencias"","" EBITDA"","" Dimensiones del negocio"","" Prioridades estratégicas"","" Posicionamiento comercial""]",Por Definir,,,,"Se ajustó el plan estratégico de Empresas Gasco S.A. para los próximos años, definiendo adyacencias atractivas que potencien el negocio base y aumenten el EBITDA. Se incorporó un enfoque de análisis financiero y proyecciones financieras para respaldar las decisiones estratégicas.",/sites/Proyectos-TheHouse/Documentos compartidos/Empresas Gasco/GAS02 - Estrategia Corporativa,Josue Meneses,12/10/2024 11:29 AM,8/20/2026 7:16 AM,Sebastián Cifuentes,,Florencia Santa Cruz
GEI01,Planificación estratégica,Grupo Echeverría Izquierdo,Otros,Estrategia,"[""Por Definir""]","[""Desarrollo estratégico"","" Construcción"","" Minería"","" Seguridad"","" Estrategia"","" Innovación"","" Digitalización"","" Capacitación"","" Eficiencia""]",Por Definir,,,,"Desarrollo estratégico para establecer liderazgo en construcción y servicios para minería en Chile y Perú. Incluye metas, iniciativas, plan de implementación y potenciación de modelos de negocio adyacentes.",/:f:/s/Proyectos-TheHouse/EpEy-0QZrSBDtfaTDMaBUpoBXxCoqetUtBilJcFn4Ojygw?e=fGwdcN,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 10:22 AM,,,
GEI02,Apoyo a la implementación de la estrategia,Grupo Echeverría Izquierdo,Otros,Estrategia,"[""Por Definir""]","[""Transformación de negocios"","" Definición estratégica"","" Liderazgo"","" Innovación"","" Modelo de negocio"","" Estructura organizacional"","" Gestión del cambio"","" Cadena de valor"","" Rentabilidad""]",Por Definir,,,,"Apoyo a la implementación de la estrategia del Grupo Echeverría Izquierdo para transformar el negocio de Edificaciones. Se busca establecer liderazgo en soluciones habitacionales para el segmento medio y potenciar la transformación del negocio de edificaciones, incluyendo la definición de modelos de negocio, estructura organizacional y evaluación de oportunidades en megaproyectos.",/sites/Proyectos-TheHouse/Documentos compartidos/Grupo Echeverría Izquierdo/GEI02 - Apoyo a la implementación de la estrategia,Josue Meneses,12/10/2024 11:29 AM,8/10/2026 6:06 AM,Alfonso Undurraga Bordeu,,Gerardo Boetsch
GTD01,Gestión de personas 2020,Grupo Gtd,Servicios básicos,Rediseño organizacional y gobernanza,"[""Por Definir""]","[""Gestión de personas"","" Desarrollo de equipos"","" Liderazgo"","" Capacitación"","" Evaluación de desempeño"","" Matriz 9 Box Grid"","" Talent Inventory"","" Clima laboral"","" Comunicación interna""]",Por Definir,,,,"Proyecto de desarrollo de equipo ejecutivo en Grupo Gtd, enfocado en potenciar el crecimiento sostenible a través del desarrollo de colaboradores clave. Se implementará un plan de desarrollo basado en la matriz 9 Box Grid y el Talent Inventory.",/:f:/s/Proyectos-TheHouse/EpA3DfNENrZKtiEutIj9T4QBasasMsD9a-QIdOHBfdljvg?e=xGyqsg,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 10:26 AM,,,
GTD02,Gestión de personas 2020 2da etapa,Grupo Gtd,Servicios básicos,Rediseño organizacional y gobernanza,"[""Por Definir""]","[""Desempeño"","" Potencial"","" Matriz 9 Box Grid"","" Benchmark"","" Calibración"","" Evaluación"","" Gerencia"","" Comité"","" Segmentación""]",Por Definir,,,,"El proyecto de Gestión de Personas 2020 del Grupo Gtd se enfocó en evaluar el desempeño y potencial de los colaboradores a través de matrices y encuestas, con el objetivo de desarrollar al equipo ejecutivo.",/sites/Proyectos-TheHouse/Documentos compartidos/Grupo Gtd/GTD02 - Gestión de personas 2020 2da etapa,Josue Meneses,12/10/2024 11:29 AM,7/23/2026 5:11 PM,Sebastián Cifuentes,,
IGP01,MCoE Workshops,BHP,Minería,Gestión del cambio,"[""Por Definir""]","[""Eficiencia"","" Optimización de procesos"","" Plan de implementación"","" Benchmark"","" Desarrollo de equipo ejecutivo"","" Estrategia"","" Ciclo de gobierno"","" Implementación de sistemas"","" Mejores prácticas""]",Por Definir,,,,"Se identificaron oportunidades de mejora en el rendimiento de mantenimiento en BHP Minerals America, con un valor potencial de 614-689 M USD. Se propuso un plan de implementación para optimizar costos y maximizar la disponibilidad en equipos críticos.",/:f:/s/Proyectos-TheHouse/IgAAbsXpKckVTq6lwYwt1v0zAdqpXug_qz6ejptPYvkfAfM?e=sFeVBy,María Fé Solís,12/10/2024 11:29 AM,6/12/2026 9:16 AM,,,
LAB01,Modelo de Negocio,Laboratoria,Non-profit,Estrategia,"[""Por Definir""]","[""Modelo de negocios"","" Financiamiento"","" Non profit"","" For profit"","" Estructura organizacional"","" Benchmark"","" Desarrollo web"","" Fundraising"","" Gestión del cambio""]",Por Definir,,,,"Potenciar el modelo de negocio de Laboratoria para facilitar un crecimiento sustentable. Se ajustó el modelo de negocio y financiamiento, se definió una estrategia de crecimiento y se diseñó un plan de implementación para instalar un modelo de escalamiento.",/:f:/s/Proyectos-TheHouse/EkFc6d51Hi5LkaODlRHJ9pgBTp2kYyJgUDc4yxtUNOj6jg?e=BYsDPq,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 10:27 AM,,,
LV01,Culture Audit 2015,Larrain Vial,Servicios financieros,Gestión del cambio,"[""Por Definir""]","[""Cultura organizacional"","" Responsabilidad social empresarial"","" Voluntariado"","" Equidad interna"","" Comunicación interna"","" Incentivos"","" Familia organizacional"","" Eventos corporativos"","" Compensación""]",Por Definir,,,,"Se creó la Fundación LarrainVial para promover acciones de voluntariado y responsabilidad social empresarial. Se fomenta la participación de los colaboradores en actividades comunitarias, reforzando la cultura organizacional y el sentido de pertenencia.",/:f:/s/Proyectos-TheHouse/EscPtvpBGWhHhM4h7VW0ixIBWvZhuVBOlB8eS-6XrgziLg?e=UZL8M4,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 10:28 AM,,,
MIN01,Definiciones organizacionales,Grupo Mineros,Minería,Rediseño organizacional y gobernanza,"[""Por Definir""]","[""Estrategia corporativa"","" Crecimiento"","" Exploraciones"","" Proyectos de Crecimiento"","" Estructura organizacional"","" Roles y responsabilidades"","" Gobernanza"","" Desarrollo de equipos"","" Definición de perfiles""]",Por Definir,,,,"Se establecieron las definiciones organizacionales de la VP Desarrollo Negocios y Estrategia para habilitar los desafíos de crecimiento de la Compañía. Se diseñó una estructura organizacional que permita enfrentar los desafíos de crecimiento, definiendo roles, responsabilidades, perfiles y gobernanza.",/:f:/s/Proyectos-TheHouse/Ehp702bouyJBgpZ5ITLHu6kBM67RY7ePZyLpfaCUWL8toA?e=qBPcYa,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 10:29 AM,,,
MLP01,Análisis de bonos y evaluación de internalización,Antofagasta Minerals,Minería,Rediseño organizacional y gobernanza,"[""Por Definir""]","[""Bonos"","" Convenios colectivos"","" Producción sustentable"","" Rendimiento operacional"","" Gestión mensual/anual"","" Evaluación de desempeño"","" Benchmark"","" Compensaciones"","" Eficiencia""]",Por Definir,,,,"Análisis de mejora de la estructura de bonos para operarios, en miras a la negociación colectiva anticipada. Propuestas de ajustes puntuales para bonos de producción sustentable, continuidad operacional, rendimiento en turno de mina, entre otros, con el objetivo de optimizar la eficiencia operacional.",/sites/Proyectos-TheHouse/Documentos compartidos/Antofagasta Minerals/MLP01 - Análisis de bonos y evaluación de internalización,Josue Meneses,12/10/2024 11:29 AM,7/22/2026 2:04 PM,,,Florencia Santa Cruz
OPO01,Diseño Organizacional,Oporto,Otros,Rediseño organizacional y gobernanza,"[""Por Definir""]","[""Roles y responsabilidades"","" Estructura organizacional"","" Gestión de cambios"","" Matriz organizacional"","" Responsabilidades funcionales"","" Reuniones de seguimiento"","" Desvinculación"","" Cargos part-time"","" Sistema de gobierno""]",Por Definir,,,,"Rediseño del organigrama y roles en Restaurant Oporto para mejorar la eficiencia operacional y la claridad en las responsabilidades, incluyendo cambios en la estructura y en el sistema de gobierno.",/:f:/s/Proyectos-TheHouse/EgAkp37Cu2FNvmB0cfdGYSUB2lZjD0eGVJJFivbakF8UVg?e=wY1pZ4,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 10:31 AM,,,
PAR01,Optimizar el servicio de limpieza,Parque Arauco,Consumo masivo,Eficiencia operacional,"[""Por Definir""]","[""LEAN"","" Eficiencia operacional"","" Optimización de servicios"","" Modelo operacional"","" Transformación Lean"","" Metodología Lean"","" Diagnóstico"","" Procesos"","" Mejora continua""]",Por Definir,,,,"Implementación de la metodología Lean para optimizar el servicio de limpieza en Parque Arauco, buscando mejorar la eficiencia, control de operaciones y experiencia del cliente. Se diseñó un plan de trabajo con diagnóstico, diseño Lean y piloto.",/sites/Proyectos-TheHouse/Documentos compartidos/Parque Arauco/PAR01 - Optimizar el servicio de limpieza,Josue Meneses,12/10/2024 11:29 AM,7/30/2026 2:22 PM,Vicente Chadwick,,
PAR03,Modelo operativo de gestión de Seguridad;# Limpieza y Mantenimiento #TodosXMAS,Parque Arauco,Consumo masivo,Eficiencia operacional,"[""Por Definir""]","[""Eficiencia"","" Seguridad"","" Mantenimiento"","" Modelo operativo"","" Indicadores"","" Contratos"","" Rutinas"","" Desempeño"","" Planificación""]",Por Definir,,,,"Diseño detallado de modelos de servicios de seguridad, aseo y mantenimiento para mejorar la eficiencia operacional. Identificación de oportunidades y ajustes al modelo operativo y de gestión.","/sites/Proyectos-TheHouse/Documentos compartidos/Parque Arauco/PAR03 - Modelo operativo y de gestión de seguridad, limpieza y mantenimiento",Josue Meneses,12/10/2024 11:29 AM,8/20/2026 7:16 AM,,,Florencia Santa Cruz
PARIS01,Modernización operación TxD,Paris,Consumo masivo,Eficiencia operacional,"[""Por Definir""]","[""Transformación digital"","" Omnicanalidad"","" Gestión del cambio"","" Roles y estructura"","" Definiciones estratégicas"","" Implementación de sistemas"","" Estrategia"","" Ventas online"","" Procesos críticos""]",Por Definir,,,,"Propuesta de colaboración para modernizar la operación en tiendas de Tiendas por Departamento, integrando iniciativas en curso como la integración de procesos digitales, automatización, omnicanalidad y definiciones estratégicas clave. Se busca simplificar y automatizar procesos, ajustar roles y estructuras, y definir el posicionamiento estratégico de la empresa.",/sites/Proyectos-TheHouse/Documentos compartidos/Paris/PARIS01 - Modernización operación TxD,Josue Meneses,12/10/2024 11:29 AM,8/19/2026 1:19 PM,Alfonso Undurraga Bordeu,,Pablo Murillo
PARIS03,Instalación modernización tiendas,Paris,Consumo masivo,Eficiencia operacional,"[""Por Definir""]","[""Implementación piloto"","" Feedback"","" Comunicación"","" Buenas prácticas"","" Capacitación"","" KPIs"","" Gestión de resultados"","" Transformación en tiendas"","" Equipo de ventas""]",Por Definir,,,,"Proyecto de implementación de la transformación de la operación en tiendas Paris, con foco en la eficiencia operacional. Se han realizado ciclos de implementación, sesiones de feedback, definiciones clave, comunicación de la transformación, seguimiento a tiendas y presentaciones de resultados para potenciar el desempeño de las tiendas.",/sites/Proyectos-TheHouse/Documentos compartidos/Paris/PARIS03 - Instalación modernización tiendas,Josue Meneses,12/10/2024 11:29 AM,8/17/2026 5:20 PM,,,Simón Merino
PARIS05,Taller de lanzamiento de la estrategia TxD,Paris,Consumo masivo,Estrategia,"[""Por Definir""]","[""Estrategia"","" Implementación de sistemas"","" KPIs"","" Seguimiento"","" Coordinación"","" Análisis"","" Desarrollo de equipo ejecutivo"","" Focos estratégicos"","" Rentabilidad""]",Por Definir,,,,"Se propone un plan de implementación para asegurar el desarrollo de los Focos Estratégicos, con seguimiento detallado, análisis de KPIs y coordinación con el equipo ejecutivo.",/sites/Proyectos-TheHouse/Documentos compartidos/Paris/PARIS05 - Taller de lanzamiento de la estrategia TxD,Josue Meneses,12/10/2024 11:29 AM,7/20/2026 8:04 AM,Alfonso Undurraga Bordeu,,
PAS01,Presentación Directorio,Barrick Chile,Minería,Estrategia,"[""Por Definir""]","[""Desarrollo de equipo ejecutivo"","" Diseño organizacional"","" Definiciones estratégicas"","" Estructura organizacional"","" Roles y responsabilidades"","" Comunicación organizacional"","" Gestión del cambio"","" Alineamiento ejecutivo"","" Plan de implementación""]",Por Definir,,,,"Se propuso un plan estratégico para el LTO Chile, incluyendo definiciones organizacionales y roles. Se trabajó en el desarrollo del equipo ejecutivo y la cultura de Pascua Lama, con ajustes en la estructura y gobierno para mejorar la eficacia y coordinación.",/:f:/s/Proyectos-TheHouse/Et-XJ8a_pHhKp-HSncUkGxsBM7nDw1E08_V8-GfsDRWRMw?e=b77Nol,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 10:35 AM,,,
PAS02,Diseño Organizacional LTO,Barrick Chile,Minería,Rediseño organizacional y gobernanza,"[""Por Definir""]","[""Estrategia"","" Comunicación"","" Medio ambiente"","" Relaciones comunitarias"","" Gestión de crisis"","" Valor compartido"","" Equipo ejecutivo"","" Sostenibilidad"","" Innovación""]",Por Definir,,,,"Se busca retomar la construcción del proyecto Pascua-Lama, posicionándolo como un vecino valioso y generando valor compartido con las comunidades. Se enfoca en mejorar la comunicación, la confianza y la credibilidad, así como en la sustentabilidad ambiental.",/:f:/s/Proyectos-TheHouse/EhEnapTMDDlKgNtjD-vdVwwBvkzJcL50ygCAq0J1DSuqxA?e=ct2uP5,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 10:35 AM,,,
PCO01,Potenciamiento Gestión de Personas,Pucobre,Minería,Rediseño organizacional y gobernanza,"[""Por Definir""]","[""Gestión del talento"","" Evaluación de desempeño"","" Business Partner"","" Comunicación"","" Identificación de talento"","" Acciones sugeridas"","" Feedback"","" Metodología"","" Mejores prácticas""]",Por Definir,,,,"El proyecto busca potenciar el área de Gestión de Personas de Pucobre para transformarse en un 'Socio Estratégico' del negocio. Se diseñará una estructura, se identificarán capacidades y se evaluarán procesos y sistemas para lograr un servicio de excelencia.",/sites/Proyectos-TheHouse/Documentos compartidos/Pucobre/PCO01 - Potenciamiento Gestión de Personas,Josue Meneses,12/10/2024 11:29 AM,7/30/2026 2:14 PM,Joaquín López,,
PCS01,Taller Alineamiento Estratégico,Pegas Con Sentido,Non-profit,Estrategia,"[""Por Definir""]","[""Cultura organizacional"","" Generación de comunidades"","" Coaching"","" Desarrollo de carrera"","" Benchmarking"","" Rentabilizar negocio"","" Prioridades estratégicas"","" Propuesta de valor"","" Modelo de intervención""]",Por Definir,,,,"El proyecto se enfoca en el desarrollo de un equipo ejecutivo para la consultora 'Pegas Con Sentido', diseñando estrategias para mejorar la cultura organizacional y generar comunidades. Se realizan encuestas y benchmarking para identificar oportunidades de negocio y rentabilizar el negocio actual.",/:f:/s/Proyectos-TheHouse/Er0MIWTJpP1JqJsVsodQeLYBYhwKYfoCB-awfvS0Lj-cRA?e=HiKxWL,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 10:34 AM,,,
PEN01,Clima Organizacional,Banco Penta,Servicios financieros,Gestión del cambio,"[""Por Definir""]","[""Clima organizacional"","" Planificación estratégica"","" Desarrollo de equipo"","" Gestión del cambio"","" Comunicación interna"","" Capacitación"","" Liderazgo"","" Estrategia de personas"","" Visión estratégica""]",Por Definir,,,,"Planificación estratégica del Área de Recursos Humanos para Banco Penta, alineando la estrategia de personas con la del negocio. Desarrollo de un plan detallado, iniciativas estratégicas y capacitación para el equipo ejecutivo.",/:f:/s/Proyectos-TheHouse/IgCtHYZ19jfYSrZgw1gLsQtvAY4b3oepo5d1MlMU2Pv6C9s?e=kAPRu7,María Fé Solís,12/10/2024 11:29 AM,6/12/2026 9:13 AM,,,
POL01,Planificación estratégica,Polpaico,Otros,Estrategia,"[""Por Definir""]","[""Rentabilidad"","" Cultura organizacional"","" Desarrollo de equipo ejecutivo"","" Sostenibilidad"","" Excelencia operacional"","" Encuesta"","" Entrevista"","" Plan de implementación"","" Tendencias de la industria""]",Por Definir,,,,"El proyecto de planificación estratégica de Grupo Polpaico busca transformar la compañía para alcanzar el liderazgo en costos a corto plazo y liderar en nuevos mercados a largo plazo. Se han identificado focos estratégicos, iniciativas y metas para lograr este objetivo.",/sites/Proyectos-TheHouse/Documentos compartidos/Polpaico/POL01 - Planificación estratégica,Josue Meneses,12/10/2024 11:29 AM,7/20/2026 8:09 AM,Mariana  Hernandez Eyquem,,
PRI01,Planificación Estratégica,Principal Financial Group,Servicios financieros,Estrategia,"[""Por Definir""]","[""Estrategia"","" Plan de implementación"","" Entrevista"","" Latam"","" Off-site"","" Desarrollo organizacional"","" Gestión del cambio"","" Decisiones estratégicas"","" Roles organizacionales""]",Por Definir,,,,Principal Latam off-site para definir estrategias a mediano y largo plazo. Se realizó un análisis de la estructura organizacional y se diseñó un plan de implementación para ajustarla a los objetivos estratégicos.,/:f:/s/Proyectos-TheHouse/Es-GgigyUJ1KsFAIXsM0QssBchSXExGRvo4HV9eLAilyhA?e=QJVa6K,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 10:39 AM,,,
PRI02,Potenciar las capacidades organizacionales,Principal Financial Group,Servicios financieros,Rediseño organizacional y gobernanza,"[""Por Definir""]","[""Desarrollo ejecutivo"","" Roles ejecutivos"","" Competencias de liderazgo"","" Efectividad organizacional"","" Coordinación"","" Comunicación"","" Estrategia"","" Planificación"","" Gestión del cambio""]",Por Definir,,,,"El proyecto busca potenciar las capacidades organizacionales del equipo ejecutivo de Principal Latam para enfrentar los desafíos estratégicos del negocio. Se propone un plan de trabajo con sesiones de aclaración de roles, atribuciones e instancias de decisión, desarrollo de competencias de liderazgo y un Off-site para lograr mayor coordinación y toma de decisiones efectiva.",/:f:/s/Proyectos-TheHouse/Esrt5kFH22xMg9uHusqphLgBWONcsHbvBdO_U6eEjlpCDw?e=dMHgws,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 10:39 AM,,,
SDA01,Perfiles de Cargo,Sociedad de Derechos de Autor (SCD),Non-profit,Rediseño organizacional y gobernanza,"[""Por Definir""]","[""Descripciones y Perfiles de Cargo"","" Levantamiento de Perfiles"","" ISO 9001"","" Consultoría"","" Recursos Humanos"","" Gestión del talento"","" Planificación estratégica"","" Comunicación interna"","" Desarrollo organizacional""]",Por Definir,,,,"Levantamiento de perfiles de cargos en la SCD para determinar funciones y habilidades necesarias, con el objetivo de mejorar la gestión del talento y la planificación estratégica.",/:f:/s/Proyectos-TheHouse/EnJpfBnnkZVEiJr-OgiHmakB3T-Y_b0iyC2S1ZlmUkFWgg?e=yELl8o,Aldemar  Pinzón,12/10/2024 11:33 AM,2/17/2025 10:40 AM,,,
SIE01,Planificación Estratégica,Siena,Otros,Estrategia,"[""Por Definir""]","[""Planificación estratégica"","" Definiciones estratégicas"","" Implementación de estrategias"","" Comunicación interna"","" Liderazgo ejecutivo"","" Incentivos"","" Seguimiento estratégico"","" Desarrollo organizacional"","" Estrategia de negocio""]",Por Definir,,,,"El proyecto de planificación estratégica de Siena busca impulsar la efectividad de la empresa a través de la definición de objetivos claros, desarrollo de iniciativas accionables y comunicación efectiva de la estrategia. Se enfoca en potenciar la profesionalización y el trabajo en equipo para enfrentar los desafíos futuros.",/:f:/s/Proyectos-TheHouse/ErTauujWLMVKh7zQpz4ZS0gBVzkUanr2JwIETVVN2hrjbw?e=W2IrDZ,Aldemar  Pinzón,12/10/2024 11:34 AM,2/17/2025 10:43 AM,,,
SIE02,Revisión y actualización planificación estratégica,Siena,Otros,Estrategia,"[""Por Definir""]","[""Comité Ejecutivo"","" Planificación estratégica"","" Equipo ejecutivo"","" Cultura corporativa"","" Desafíos adaptativos"","" Directorio"","" Definiciones estratégicas"","" Reflexión"","" Estrategia""]",Por Definir,,,,"El proyecto consiste en revisar la planificación estratégica 2017-2019 de Inmobiliaria Siena y actualizarla para el 2018. Se busca mejorar la preparación y participación del Comité Ejecutivo, así como la conexión del equipo ejecutivo con la estrategia y la cultura corporativa.",/:f:/s/Proyectos-TheHouse/Ejgip-Y3cOBPqZ5x4w4S99sBpCcgADk-BlQ8nnLDFpyYwQ?e=658B7q,Aldemar  Pinzón,12/10/2024 11:34 AM,2/17/2025 10:43 AM,,,
SIS01,Planificación Estratégica,Sistema B,Non-profit,Estrategia,"[""Por Definir""]","[""Propósito"","" Innovación"","" Comunicación interna"","" Red de embajadores"","" Desarrollo de equipo"","" Gobernanza distribuida"","" Estrategia de comunicación"","" Desarrollo organizacional"","" Financiamiento""]",Por Definir,,,,Desarrollo de la comunidad de empresas B a través de un enfoque sistémico para promover el triple impacto y la sostenibilidad financiera. Implementación de iniciativas estratégicas y mejora de procesos de RRHH y gobernanza.,/:f:/s/Proyectos-TheHouse/ElhL7fpWtuVOpcO_ivldtA4BWB-3yBW-UI_s8dx8aQ-vkw?e=jhDV68,Aldemar  Pinzón,12/10/2024 11:34 AM,2/17/2025 10:45 AM,,,
SOC01,Planificación Estratégica,Socialab,Otros,Estrategia,"[""Por Definir""]","[""Diagnóstico"","" Estrategia"","" Sistema organizacional"","" Modelo de negocios"","" Gobierno corporativo"","" Comités"","" Misión y visión"","" Financiamiento"","" Innovación""]",Por Definir,,,,"Se ajustó el plan estratégico de Socialab, revisando la misión, visión, valores y modelo de negocios. Se propuso un nuevo sistema de gobierno y se identificaron oportunidades de mejora en la estructura organizacional.",/:f:/s/Proyectos-TheHouse/Emn4O4kw_zlKqEZAPs7eVXsBkk3UN-2cKItKdq3pwiEt8Q?e=ebF0UK,Aldemar  Pinzón,12/10/2024 11:34 AM,2/17/2025 10:45 AM,,,
SON01,Planificación Estratégica,Fundación Sonrisas,Non-profit,Estrategia,"[""Por Definir""]","[""Propósito"","" Planificación estratégica"","" Financiamiento inteligente"","" Priorización"","" Matriz de impacto"","" Pilares estratégicos"","" Mapa estratégico"","" Dimensiones de negocio"","" Prioridades estratégicas""]",Por Definir,,,,"Se replanteó el propósito de Fundación Sonrisas y se diseñó un nuevo propósito basado en sus desafíos actuales. Se priorizaron los pilares estratégicos y se definieron las fuentes de financiamiento, detallando su factibilidad y tamaño del monto a conseguir.",/:f:/s/Proyectos-TheHouse/EtIPWSr8GK5EgguFtjV64QsBK4dsOgx9XX-mnPWGXCnErw?e=NMg6Rf,Aldemar  Pinzón,12/10/2024 11:34 AM,2/17/2025 10:46 AM,,,
SQM03,Potenciando la gestión de contratos Potasio Litio,SQM,Minería,Eficiencia operacional,"[""Por Definir""]","[""Gestión de contratos"","" Automatización"","" Capacitación"","" Estructura organizacional"","" Tendencias de la industria"","" Desarrollo de equipo ejecutivo"","" Eficiencia operacional"","" Plan de implementación"","" Encuesta""]",Por Definir,,,,"Se analizó la gestión de contratos de Potasio y Litio de SQM, identificando oportunidades de mejora en procesos, herramientas y capacitación. Se propuso un plan de implementación para optimizar la eficiencia operacional y adaptarse a las tendencias de la industria.",/:f:/s/Proyectos-TheHouse/IgCx5FWaW9LcTI9sHjMzxEXZAVVu2ebzZkEUfHu4ONzxk_M?e=SM7dbZ,María Fé Solís,12/10/2024 11:34 AM,6/12/2026 9:06 AM,,,
SQM07,Modelo operativo gestión ESG y Asuntos Corporativos,SQM,Minería,Eficiencia operacional,"[""Por Definir""]","[""Asuntos corporativos"","" Modelo operativo"","" Relacionamiento comunitario"","" Comunicaciones externas"","" Estructura organizacional"","" Gestión del cambio"","" Planificación estratégica"","" Rolling forecast"","" Indicadores de negocio""]",Por Definir,,,,"Se diseñó un nuevo modelo operativo para el área de Asuntos Corporativos de NY, incluyendo la incorporación de nuevas subgerencias y roles. Se implementó un dashboard para visualizar la salud del negocio y se trabajó en la identificación de oportunidades de valor.","/sites/Proyectos-TheHouse/Documentos compartidos/SQM/SQM07 - Modelos operativos Gestión, ESG y AA.CC",Josue Meneses,12/10/2024 11:34 AM,8/9/2026 7:02 PM,Juan Pablo Vega,,Andres Justiniano
SUS01,Presentación Gobierno Corporativo,Codelco VP Sustentabilidad,Minería,Rediseño organizacional y gobernanza,"[""Por Definir""]","[""Sustentabilidad"","" Stakeholders"","" Decisiones"","" Seguridad"","" Medio ambiente"","" Comunidades"","" Prevención de riesgos"","" Gestión del cambio"","" Capacitación""]",Por Definir,,,,"Construcción de bases para una minería sustentable, abordando la nueva Política de Sustentabilidad con definición de stakeholders y co-construcción de visión. Involucra entrevistas, reuniones de trabajo y mesas de trabajo con grupos de interés.",/:f:/s/Proyectos-TheHouse/EmFzabRdDQZKseq82avG_PkBAS4zoj-3_HYoR6-eUhDQ8A?e=b1a5GH,Aldemar  Pinzón,12/10/2024 11:34 AM,2/17/2025 10:47 AM,,,
TAC02,Revisión de la estrategia,TACAL,Non-profit,Estrategia,"[""Por Definir""]","[""Definiciones estratégicas"","" Prioridades estratégicas"","" Focos estratégicos"","" Iniciativas estratégicas"","" Plan de comunicación"","" Roadmap"","" Desafíos y oportunidades"","" Estructura organizacional"","" Finanzas""]",Por Definir,,,,"Se ajustó la estrategia de la Fundación TACAL para el período 2020-2023, enfocándose en potenciar la inclusión laboral de personas con discapacidad, diversificar fuentes de financiamiento y fortalecer el sistema organizacional.",/:f:/s/Proyectos-TheHouse/EloaseGyCXdFjXQZ2emyQx0BL2PriqP0U2x4_WAuKWtTVg?e=0TfcAo,Aldemar  Pinzón,12/10/2024 11:34 AM,2/17/2025 10:48 AM,,,
TAC03,Apoyo a la definición de la estructura organizacional,TACAL,Non-profit,Rediseño organizacional y gobernanza,"[""Por Definir""]","[""Rediseño organizacional"","" Estructura organizacional"","" Modelo de gobierno"","" Desarrollo de equipo"","" Roles y responsabilidades"","" Organigrama"","" Criterios organizacionales"","" Plan de sucesión"","" Empoderamiento""]",Por Definir,,,,"Se propone un rediseño organizacional para la Fundación TACAL, con el objetivo de definir una estructura eficiente y un sistema de gobierno. Se busca potenciar nuevas áreas, roles y liderazgos, manteniendo una comunicación eficiente y empoderando al equipo.",/:f:/s/Proyectos-TheHouse/EhmFFJ8AcPRKikxylCSGsCABrzVt8Ba_jl3xcvapPrNF9w?e=0ADotq,Aldemar  Pinzón,12/10/2024 11:34 AM,2/17/2025 10:48 AM,,,
TEC02,Ajuste modelo de intervención TECHO,Techo,Non-profit,Estrategia,"[""Por Definir""]","[""Estructura organizacional"","" Modelo de intervención"","" Procesos"","" Roles"","" Recursos"","" Optimización"","" Eficiencia"","" Remuneraciones"","" Capacidades requeridas""]",Por Definir,,,,Ajuste de la estructura y modelo de intervención de TECHO Chile para mejorar la eficiencia y reducir costos. Se propone un plan de implementación basado en entrevistas para optimizar procesos y roles.,/:f:/s/Proyectos-TheHouse/EjOQvXaCyelJp_6YgFEE7SMBEcJh1o9uyWYJn6dIwZvDUg?e=hxV5cH,Aldemar  Pinzón,12/10/2024 11:34 AM,2/17/2025 10:51 AM,,,
